Company,cik,form,filed,ddate,Year,Quarter,Revenue,Gross_Profit,Operating_Income,Net_Income,Operating_Cash_Flow,Equity,Profit_Margin,Gross_Margin,Operating_Margin,ROE,Cash_Flow_Margin,Sector
JPMorgan Chase,19617,10-Q,2021-08-02,2020-06-30,2020,2,33075000000.0,,,7552000000.0,-37170000000.0,264466000000.0,22.832955404383977,,,2.855565554740496,-112.38095238095238,Banking
JPMorgan Chase,19617,10-Q,2021-11-02,2020-09-30,2020,3,29255000000.0,,,16995000000.0,-51858000000.0,271113000000.0,58.092633737822595,,,6.268603866284537,-177.2620064946163,Banking
JPMorgan Chase,19617,10-Q,2021-11-02,2020-12-31,2020,4,,,,,,279354000000.0,,,,,,Banking
JPMorgan Chase,19617,10-Q,2022-05-03,2021-03-31,2021,1,32266000000.0,,,14300000000.0,-43872000000.0,280714000000.0,44.3190975020145,,,5.0941527675855145,-135.96975144114546,Banking
JPMorgan Chase,19617,10-Q,2022-08-03,2021-06-30,2021,2,30479000000.0,,,26248000000.0,-30342000000.0,286386000000.0,86.11831096820762,,,9.165252491392737,-99.5505101873421,Banking
JPMorgan Chase,19617,10-Q,2022-11-03,2021-09-30,2021,3,29647000000.0,,,37935000000.0,-7011000000.0,290041000000.0,127.95561102303775,,,13.079185356553038,-23.648261206867474,Banking
JPMorgan Chase,19617,10-Q,2022-11-03,2021-12-31,2021,4,,,,,,294127000000.0,,,,,,Banking
JPMorgan Chase,19617,10-Q,2023-05-03,2022-03-31,2022,1,30717000000.0,,,8282000000.0,-41917000000.0,285899000000.0,26.962268450695053,,,2.896827201214415,-136.46189406517564,Banking
JPMorgan Chase,19617,10-Q,2023-08-03,2022-06-30,2022,2,30715000000.0,,,16931000000.0,24101000000.0,286143000000.0,55.12290411850888,,,5.916971584138001,78.46654728959793,Banking
JPMorgan Chase,19617,10-Q,2022-11-03,2022-09-30,2022,3,32716000000.0,,,26668000000.0,5897000000.0,288018000000.0,81.51363247340751,,,9.259143525751863,18.02481966010515,Banking
JPMorgan Chase,19617,10-Q,2023-08-03,2022-12-31,2022,4,,,,,,292332000000.0,,,,,,Banking
JPMorgan Chase,19617,10-Q,2024-05-01,2023-03-31,2023,1,38349000000.0,,,12622000000.0,-111241000000.0,303082000000.0,32.913504915382404,,,4.164549527850549,-290.07536050483714,Banking
JPMorgan Chase,19617,10-Q,2024-08-02,2023-06-30,2023,2,41307000000.0,,,14472000000.0,-92376000000.0,312516000000.0,35.03522405403442,,,4.6308029028913715,-223.6327983150556,Banking
JPMorgan Chase,19617,10-Q,2024-10-30,2023-09-30,2023,3,119530000000.0,,,40245000000.0,-47257000000.0,317371000000.0,33.66937170584791,,,12.680742726966232,-39.535681418890654,Banking
JPMorgan Chase,19617,10-Q,2024-10-30,2023-12-31,2023,4,,,,,,327878000000.0,,,,,,Banking
JPMorgan Chase,19617,10-Q,2025-05-01,2024-03-31,2024,1,41934000000.0,,,13419000000.0,-154158000000.0,336637000000.0,32.00028616397196,,,3.9861928427356466,-367.62054657318646,Banking
JPMorgan Chase,19617,10-Q,2025-08-05,2024-06-30,2024,2,50200000000.0,,,18149000000.0,-115689000000.0,340552000000.0,36.15338645418327,,,5.32928891916653,-230.4561752988048,Banking
JPMorgan Chase,19617,10-Q,2025-11-04,2024-09-30,2024,3,42654000000.0,,,12898000000.0,-189770000000.0,345836000000.0,30.238664603554184,,,3.7295134109809274,-444.9055188259014,Banking
JPMorgan Chase,19617,10-Q,2025-11-04,2024-12-31,2024,4,,,,,,344758000000.0,,,,,,Banking
JPMorgan Chase,19617,10-Q,2025-05-01,2025-03-31,2025,1,45310000000.0,,,14643000000.0,-251839000000.0,351420000000.0,32.317369234164644,,,4.166808946559672,-555.8132862502758,Banking
JPMorgan Chase,19617,10-Q,2025-08-05,2025-06-30,2025,2,44912000000.0,,,29630000000.0,-222292000000.0,356924000000.0,65.97345920912005,,,8.301487151326333,-494.9501246882793,Banking
JPMorgan Chase,19617,10-Q,2025-11-04,2025-09-30,2025,3,46427000000.0,,,14393000000.0,-267506000000.0,360212000000.0,31.001356969005105,,,3.9957025307319025,-576.1862709199388,Banking
Microsoft,789019,10-Q,2021-04-27,2020-03-31,2020,1,35021000000.0,24046000000.0,39552000000.0,10752000000.0,17504000000.0,114501000000.0,30.701579052568455,68.66166014676908,112.9379515148054,9.390311001650641,49.98143970760401,Technology
Microsoft,789019,10-Q,2021-04-27,2020-06-30,2020,2,,,,,,118304000000.0,,,,,,Technology
Microsoft,789019,10-Q,2021-10-26,2020-09-30,2020,3,37154000000.0,26152000000.0,15876000000.0,13893000000.0,19335000000.0,123392000000.0,37.393012865371155,70.38811433493028,42.73025784572321,11.259238848547717,52.04015718361414,Technology
Microsoft,789019,10-Q,2022-01-25,2020-12-31,2020,4,80230000000.0,28882000000.0,17897000000.0,15463000000.0,12516000000.0,130236000000.0,19.27333914994391,35.999002866758076,22.30711703851427,11.873061211953683,15.600149569986291,Technology
Microsoft,789019,10-Q,2022-04-26,2021-03-31,2021,1,41706000000.0,83695000000.0,50821000000.0,15457000000.0,22179000000.0,134505000000.0,37.06181364791637,200.67855943988872,121.8553685321057,11.491766105349244,53.17939864767659,Technology
Microsoft,789019,10-Q,2022-04-26,2021-06-30,2021,2,,,,,,141988000000.0,,,,,,Technology
Microsoft,789019,10-Q,2022-10-25,2021-09-30,2021,3,45317000000.0,31671000000.0,20238000000.0,20505000000.0,24540000000.0,151978000000.0,45.247920206545004,69.88768012004326,44.658737339188384,13.49208438063404,54.151863539069225,Technology
Microsoft,789019,10-Q,2023-01-24,2021-12-31,2021,4,51728000000.0,34768000000.0,22247000000.0,39270000000.0,14480000000.0,160010000000.0,75.91633158057532,67.21311475409836,43.00765542839468,24.542216111493033,27.99257655428395,Technology
Microsoft,789019,10-Q,2023-04-25,2022-03-31,2022,1,49360000000.0,33745000000.0,20364000000.0,16728000000.0,64406000000.0,162924000000.0,33.88978930307942,68.36507293354943,41.25607779578606,10.267363924283716,130.48217179902755,Technology
Microsoft,789019,10-Q,2023-04-25,2022-06-30,2022,2,,,,,,166542000000.0,,,,,,Technology
Microsoft,789019,10-Q,2022-10-25,2022-09-30,2022,3,50122000000.0,34670000000.0,21518000000.0,17556000000.0,23198000000.0,173566000000.0,35.02653525398029,69.1712222177886,42.93124775547664,10.114884251523916,46.283069310881444,Technology
Microsoft,789019,10-Q,2024-01-30,2022-12-31,2022,4,102869000000.0,69929000000.0,20399000000.0,16425000000.0,34371000000.0,183136000000.0,15.966909370169827,67.97869134530326,19.83007514411533,8.968744539577145,33.41239829297456,Technology
Microsoft,789019,10-Q,2024-04-25,2023-03-31,2023,1,52857000000.0,106658000000.0,64269000000.0,18299000000.0,58812000000.0,194683000000.0,34.61982329681972,201.78595077283995,121.59032862250979,9.399382586050145,111.26624666553153,Technology
Microsoft,789019,10-Q,2024-04-25,2023-06-30,2023,2,,,,,,206223000000.0,,,,,,Technology
Microsoft,789019,10-Q,2024-10-30,2023-09-30,2023,3,56517000000.0,40215000000.0,26895000000.0,22291000000.0,30583000000.0,220714000000.0,39.4412300723676,71.15558150644938,47.58745156324646,10.09949527442754,54.11292177574889,Technology
Microsoft,789019,10-Q,2025-01-29,2023-12-31,2023,4,62020000000.0,82612000000.0,53927000000.0,21870000000.0,49436000000.0,238268000000.0,35.26281844566269,133.202192841019,86.95098355369237,9.17873990632397,79.70977104159948,Technology
Microsoft,789019,10-Q,2025-04-30,2024-03-31,2024,1,61858000000.0,43353000000.0,27581000000.0,21939000000.0,31917000000.0,253152000000.0,35.466714087102716,70.08471014258463,44.58760386692101,8.666334850208571,51.597206505221635,Technology
Microsoft,789019,10-Q,2025-04-30,2024-06-30,2024,2,,,,,,268477000000.0,,,,,,Technology
Microsoft,789019,10-Q,2025-10-29,2024-09-30,2024,3,65585000000.0,45486000000.0,30552000000.0,24667000000.0,34180000000.0,287723000000.0,37.61073416177479,69.35427308073493,46.58382252039338,8.573176284134393,52.11557520774568,Technology
Microsoft,789019,10-Q,2025-01-29,2024-12-31,2024,4,69632000000.0,93319000000.0,62205000000.0,48775000000.0,56471000000.0,302695000000.0,70.04681755514706,134.01740579044116,89.33392693014706,16.113579675911396,81.09920726102942,Technology
Microsoft,789019,10-Q,2025-04-30,2025-03-31,2025,1,70066000000.0,48147000000.0,94205000000.0,25824000000.0,37044000000.0,321891000000.0,36.856677989324346,68.71663859789342,134.45180258613308,8.022591498364354,52.87015100048526,Technology
Microsoft,789019,10-Q,2025-10-29,2025-06-30,2025,2,,,,,,343479000000.0,,,,,,Technology
Microsoft,789019,10-Q,2025-10-29,2025-09-30,2025,3,77673000000.0,53630000000.0,37961000000.0,27747000000.0,45057000000.0,363076000000.0,35.72283805183268,69.04587179586214,48.872838695557014,7.642201632716016,58.008574408095484,Technology
Tesla,1318605,10-Q,2021-04-28,2020-03-31,2020,1,5985000000.0,1234000000.0,283000000.0,16000000.0,-440000000.0,,0.2673350041771094,20.618212197159565,4.728487886382624,,-7.351712614870509,Technology
Tesla,1318605,10-Q,2021-07-27,2020-06-30,2020,2,6036000000.0,2501000000.0,610000000.0,120000000.0,524000000.0,,1.9880715705765408,41.43472498343274,10.106030483764082,,8.681245858184228,Technology
Tesla,1318605,10-Q,2021-10-25,2020-09-30,2020,3,8771000000.0,2063000000.0,809000000.0,331000000.0,2924000000.0,,3.773800022802417,23.520693193478508,9.223577699236118,,33.337133736176035,Technology
Tesla,1318605,10-Q,2022-10-24,2020-12-31,2020,4,,,,,,,,,,,,Technology
Tesla,1318605,10-Q,2022-04-25,2021-03-31,2021,1,10389000000.0,2215000000.0,594000000.0,438000000.0,1641000000.0,,4.215997689864279,21.320627586870728,5.717585908172105,,15.795552988738088,Technology
Tesla,1318605,10-Q,2022-07-25,2021-06-30,2021,2,22347000000.0,2884000000.0,1312000000.0,1580000000.0,3765000000.0,,7.070300264017542,12.905535418624423,5.871034143285452,,16.84789904685193,Technology
Tesla,1318605,10-Q,2022-10-24,2021-09-30,2021,3,36104000000.0,3660000000.0,3910000000.0,1618000000.0,6912000000.0,,4.4814978949700865,10.137380899623311,10.829824950144028,,19.144693108796808,Technology
Tesla,1318605,10-Q,2023-07-24,2021-12-31,2021,4,,,,,,,,,,,,Technology
Tesla,1318605,10-Q,2023-04-24,2022-03-31,2022,1,18756000000.0,5460000000.0,3603000000.0,3318000000.0,3995000000.0,,17.690339091490724,29.110684580934098,19.209852847088932,,21.299850714438044,Technology
Tesla,1318605,10-Q,2023-07-24,2022-06-30,2022,2,16934000000.0,9694000000.0,2464000000.0,2259000000.0,6346000000.0,,13.340025983229006,57.24577772528641,14.550608243769931,,37.474902562891224,Technology
Tesla,1318605,10-Q,2022-10-24,2022-09-30,2022,3,57144000000.0,5382000000.0,9755000000.0,8869000000.0,11446000000.0,39851000000.0,15.520439591208177,9.418311633767324,17.070908581828366,22.255401370103638,20.030099398012037,Technology
Tesla,1318605,10-Q,2024-10-24,2022-12-31,2022,4,,,,,,,,,,,,Technology
Tesla,1318605,10-Q,2024-04-24,2023-03-31,2023,1,23329000000.0,4511000000.0,2664000000.0,2513000000.0,2513000000.0,,10.772000514381244,19.336448197522397,11.419263577521539,,10.772000514381244,Technology
Tesla,1318605,10-Q,2024-07-24,2023-06-30,2023,2,48256000000.0,9044000000.0,2399000000.0,5216000000.0,5578000000.0,,10.809018567639257,18.741710875331567,4.971402519893899,,11.559184350132625,Technology
Tesla,1318605,10-Q,2024-10-24,2023-09-30,2023,3,23350000000.0,4178000000.0,1764000000.0,7069000000.0,8886000000.0,,30.274089935760173,17.892933618843685,7.554603854389722,,38.05567451820128,Technology
Tesla,1318605,10-Q,2025-10-23,2023-12-31,2023,4,,,,,,,,,,,,Technology
Tesla,1318605,10-Q,2025-04-23,2024-03-31,2024,1,21301000000.0,3696000000.0,1171000000.0,1390000000.0,242000000.0,,6.525515234026572,17.35129806112389,5.497394488521666,,1.1360968968593024,Technology
Tesla,1318605,10-Q,2025-07-24,2024-06-30,2024,2,25500000000.0,8274000000.0,2776000000.0,1400000000.0,3854000000.0,,5.490196078431373,32.44705882352941,10.886274509803922,,15.113725490196078,Technology
Tesla,1318605,10-Q,2025-10-23,2024-09-30,2024,3,25182000000.0,4997000000.0,2717000000.0,2173000000.0,10109000000.0,,8.629179572710665,19.843539035819234,10.789452783734413,,40.143753474704155,Technology
Tesla,1318605,10-Q,2025-10-23,2024-12-31,2024,4,,,,,,72913000000.0,,,,,,Technology
Tesla,1318605,10-Q,2025-04-23,2025-03-31,2025,1,19335000000.0,3153000000.0,399000000.0,409000000.0,2156000000.0,74653000000.0,2.1153348849237132,16.30721489526765,2.0636152055857253,0.5478681365785703,11.150762865270234,Technology
Tesla,1318605,10-Q,2025-07-24,2025-06-30,2025,2,22496000000.0,7031000000.0,1322000000.0,1172000000.0,4696000000.0,77314000000.0,5.209815078236131,31.254445234708395,5.876600284495021,1.5158962154331685,20.874822190611663,Technology
Tesla,1318605,10-Q,2025-10-23,2025-09-30,2025,3,28095000000.0,5054000000.0,1624000000.0,1373000000.0,10934000000.0,79970000000.0,4.886990567716676,17.98896600818651,5.7803879693895714,1.7168938351881955,38.917956931838404,Technology
