Company,cik,form,filed,ddate,Year,Quarter,Revenue,Gross_Profit,Operating_Income,Net_Income,Operating_Cash_Flow,Equity,Profit_Margin,Gross_Margin,Operating_Margin,ROE,Cash_Flow_Margin,Sector,ROE_Adjusted,ROE_Flag,OCF_Category,Cash_Flow_Margin_Adj,JPMorgan_OCF_Note,Has_Financial_Data,Data_Period_Note,Revenue_YoY_Growth,Revenue_TTM,Net_Income_TTM,Operating_Cash_Flow_TTM,Profit_Margin_Clean,FHS_PM_Score,FHS_CFM_Score,ROE_for_FHS,FHS_V2
Amazon,1018724,10-Q,2021-10-29,2020-09-30,2020,3,260509000000.0,,6194000000.0,6331000000.0,55292000000.0,82775000000.0,2.4302423332783127,,2.3776529793596386,7.648444578677137,21.224602604900404,Technology,7.648444578677137,,Operating,21.224602604900404,,1,Q3 2020,,,,,2.4302423332783127,3.7404170431768495,48.11486036174605,7.648444578677137,19.8
Amazon,1018724,10-Q,2022-10-28,2021-09-30,2021,3,332410000000.0,,4852000000.0,19041000000.0,54671000000.0,120564000000.0,5.728167022652748,,1.459643211696399,15.793271623370162,16.44685779609518,Technology,15.793271623370162,,Operating,16.44685779609518,,1,Q3 2021,27.6,592919000000.0,25372000000.0,109963000000.0,5.728167022652748,1.2220575869401638,30.37173002223493,15.793271623370162,17.5
Amazon,1018724,10-Q,2022-10-28,2022-09-30,2022,3,364779000000.0,,9511000000.0,2872000000.0,39665000000.0,137489000000.0,0.7873260247985767,,2.6073321106752307,2.088894384278015,10.873707093884242,Technology,2.088894384278015,,Operating,10.873707093884242,,1,Q3 2022,9.74,957698000000.0,28244000000.0,149628000000.0,0.7873260247985767,6.52042272425389,8.333481075584979,2.088894384278015,6.2
Amazon,1018724,10-Q,2024-11-01,2023-09-30,2023,3,404824000000.0,,23643000000.0,9879000000.0,21217000000.0,182973000000.0,2.4403197438887023,,5.840315791553861,5.399157252709416,5.241043021164753,Technology,5.399157252709416,,Operating,5.241043021164753,,1,Q3 2023,10.98,1362522000000.0,38123000000.0,170845000000.0,2.4403197438887023,0.0,4.710362017440409,5.399157252709416,4.1
Amazon,1018724,10-Q,2025-10-31,2024-09-30,2024,3,158877000000.0,,17411000000.0,15328000000.0,25971000000.0,259151000000.0,9.647714898946983,,10.95879202150091,5.914698380480878,16.346607753167543,Technology,5.914698380480878,,Operating,16.346607753167543,,1,Q3 2024,-60.75,1260890000000.0,47120000000.0,141524000000.0,9.647714898946983,6.440112145607165,20.15631016041087,5.914698380480878,11.6
Amazon,1018724,10-Q,2025-10-31,2025-09-30,2025,3,180169000000.0,,17422000000.0,21187000000.0,35525000000.0,369631000000.0,11.759514677885765,,9.669810011711228,5.731932657163495,19.717598476985497,Technology,5.731932657163495,,Operating,19.717598476985497,,1,Q3 2025,13.4,1108649000000.0,49266000000.0,122378000000.0,11.759514677885765,15.102510283578432,33.99083442090894,5.731932657163495,19.1
Amazon,1018724,10-Q,2022-10-28,2020-12-31,2020,4,,,,,,93404000000.0,,,,,,Technology,,,Operating,,,0,Q4 2020 - Balance Sheet Only,,743870000000.0,46394000000.0,82713000000.0,,,,,
Amazon,1018724,10-Q,2023-08-04,2021-12-31,2021,4,,,,,,138245000000.0,,,,,,Technology,,,Operating,,,0,Q4 2021 - Balance Sheet Only,,339046000000.0,36515000000.0,61496000000.0,,,,,
Amazon,1018724,10-Q,2024-11-01,2022-12-31,2022,4,,,,,,146043000000.0,,,,,,Technology,,,Operating,,,0,Q4 2022 - Balance Sheet Only,,,,,,,,,
Amazon,1018724,10-Q,2025-10-31,2023-12-31,2023,4,,,,,,201875000000.0,,,,,,Technology,,,Operating,,,0,Q4 2023 - Balance Sheet Only,,,,,,,,,
